id;name;capitalCity;coords
ABW;Aruba;Oranjestad;"('12.5167', '-70.0167')"
AFG;Afghanistan;Kabul;"('34.5228', '69.1761')"
AGO;Angola;Luanda;"('-8.81155', '13.242')"
ALB;Albania;Tirane;"('41.3317', '19.8172')"
AND;Andorra;Andorra la Vella;"('42.5075', '1.5218')"
ARE;United Arab Emirates;Abu Dhabi;"('24.4764', '54.3705')"
ARG;Argentina;Buenos Aires;"('-34.6118', '-58.4173')"
ARM;Armenia;Yerevan;"('40.1596', '44.509')"
ASM;American Samoa;Pago Pago;"('-14.2846', '-170.691')"
ATG;Antigua and Barbuda;Saint John's;"('17.1175', '-61.8456')"
AUS;Australia;Canberra;"('-35.282', '149.129')"
AUT;Austria;Vienna;"('48.2201', '16.3798')"
AZE;Azerbaijan;Baku;"('40.3834', '49.8932')"
BDI;Burundi;Bujumbura;"('-3.3784', '29.3639')"
BEL;Belgium;Brussels;"('50.8371', '4.36761')"
BEN;Benin;Porto-Novo;"('6.4779', '2.6323')"
BFA;Burkina Faso;Ouagadougou;"('12.3605', '-1.53395')"
BGD;Bangladesh;Dhaka;"('23.7055', '90.4113')"
BGR;Bulgaria;Sofia;"('42.7105', '23.3238')"
BHR;Bahrain;Manama;"('26.1921', '50.5354')"
BHS;"Bahamas, The";Nassau;"('25.0661', '-77.339')"
BIH;Bosnia and Herzegovina;Sarajevo;"('43.8607', '18.4214')"
BLR;Belarus;Minsk;"('53.9678', '27.5766')"
BLZ;Belize;Belmopan;"('17.2534', '-88.7713')"
BMU;Bermuda;Hamilton;"('32.3293', '-64.706')"
BOL;Bolivia;La Paz;"('-13.9908', '-66.1936')"
BRA;Brazil;Brasilia;"('-15.7801', '-47.9292')"
BRB;Barbados;Bridgetown;"('13.0935', '-59.6105')"
BRN;Brunei Darussalam;Bandar Seri Begawan;"('4.94199', '114.946')"
BTN;Bhutan;Thimphu;"('27.5768', '89.6177')"
BWA;Botswana;Gaborone;"('-24.6544', '25.9201')"
CAF;Central African Republic;Bangui;"('5.63056', '21.6407')"
CAN;Canada;Ottawa;"('45.4215', '-75.6919')"
CHE;Switzerland;Bern;"('46.948', '7.44821')"
CHL;Chile;Santiago;"('-33.475', '-70.6475')"
CHN;China;Beijing;"('40.0495', '116.286')"
CIV;Cote d'Ivoire;Yamoussoukro;"('5.332', '-4.0305')"
CMR;Cameroon;Yaounde;"('3.8721', '11.5174')"
COD;"Congo, Dem. Rep.";Kinshasa;"('-4.325', '15.3222')"
COG;"Congo, Rep.";Brazzaville;"('-4.2767', '15.2662')"
COL;Colombia;Bogota;"('4.60987', '-74.082')"
COM;Comoros;Moroni;"('-11.6986', '43.2418')"
CPV;Cabo Verde;Praia;"('14.9218', '-23.5087')"
CRI;Costa Rica;San Jose;"('9.63701', '-84.0089')"
CUB;Cuba;Havana;"('23.1333', '-82.3667')"
CYM;Cayman Islands;George Town;"('19.3022', '-81.3857')"
CYP;Cyprus;Nicosia;"('35.1676', '33.3736')"
CZE;Czechia;Prague;"('50.0878', '14.4205')"
DEU;Germany;Berlin;"('52.5235', '13.4115')"
DJI;Djibouti;Djibouti;"('11.5806', '43.1425')"
DMA;Dominica;Roseau;"('15.2976', '-61.39')"
DNK;Denmark;Copenhagen;"('55.6763', '12.5681')"
DOM;Dominican Republic;Santo Domingo;"('18.479', '-69.8908')"
DZA;Algeria;Algiers;"('36.7397', '3.05097')"
ECU;Ecuador;Quito;"('-0.229498', '-78.5243')"
EGY;"Egypt, Arab Rep.";Cairo;"('30.0982', '31.2461')"
ERI;Eritrea;Asmara;"('15.3315', '38.9183')"
ESP;Spain;Madrid;"('40.4167', '-3.70327')"
EST;Estonia;Tallinn;"('59.4392', '24.7586')"
ETH;Ethiopia;Addis Ababa;"('9.02274', '38.7468')"
FIN;Finland;Helsinki;"('60.1608', '24.9525')"
FJI;Fiji;Suva;"('-18.1149', '178.399')"
FRA;France;Paris;"('48.8566', '2.35097')"
FRO;Faroe Islands;Torshavn;"('61.8926', '-6.91181')"
FSM;"Micronesia, Fed. Sts.";Palikir;"('6.91771', '158.185')"
GAB;Gabon;Libreville;"('0.38832', '9.45162')"
GBR;United Kingdom;London;"('51.5002', '-0.126236')"
GEO;Georgia;Tbilisi;"('41.71', '44.793')"
GHA;Ghana;Accra;"('5.57045', '-0.20795')"
GIN;Guinea;Conakry;"('9.51667', '-13.7')"
GMB;"Gambia, The";Banjul;"('13.4495', '-16.5885')"
GNB;Guinea-Bissau;Bissau;"('11.8037', '-15.1804')"
GNQ;Equatorial Guinea;Malabo;"('3.7523', '8.7741')"
